NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
NEGATIVE REGULATION OF CALCIUM ION TRANSPORT INTO CYTOSOL%GOBP%GO:0010523	3		Rejected!	
NEGATIVE REGULATION OF GOLGI TO PLASMA MEMBRANE CFTR PROTEIN TRANSPORT%GOBP%GO:0043002	1		Rejected!	
CHONDROITIN SULFATE BIOSYNTHETIC PROCESS%GOBP%GO:0030206	14		Rejected!	
THYROID HORMONE METABOLIC PROCESS%GOBP%GO:0042403	17		Rejected!	
AUTOPHAGOSOME-LYSOSOME FUSION%GOBP%GO:0061909	8		Rejected!	
NEGATIVE REGULATION OF MRNA CATABOLIC PROCESS%GOBP%GO:1902373	59	43		
REGULATION OF L-GLUTAMATE IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0002036	6		Rejected!	
PROTEIN TARGETING%GOBP%GO:0006605	215	196		
REGULATION OF ESTABLISHMENT OF BLOOD-BRAIN BARRIER%GOBP%GO:0090210	1		Rejected!	
REGULATION OF LEUCINE IMPORT%GOBP%GO:0060357	2		Rejected!	
POSITIVE REGULATION OF HORMONE METABOLIC PROCESS%GOBP%GO:0032352	10		Rejected!	
TRIGEMINAL NERVE MORPHOGENESIS%GOBP%GO:0021636	1		Rejected!	
POSITIVE REGULATION OF EARLY ENDOSOME TO LATE ENDOSOME TRANSPORT%GOBP%GO:2000643	8		Rejected!	
REGULATION OF PRESYNAPSE ORGANIZATION%GOBP%GO:0099174	18		Rejected!	
REGULATION OF ATTACHMENT OF SPINDLE MICROTUBULES TO KINETOCHORE%GOBP%GO:0051988	18	18		
NEGATIVE REGULATION OF DEOXYRIBONUCLEASE ACTIVITY%GOBP%GO:0032076	2		Rejected!	
TRIGLYCERIDE HOMEOSTASIS%GOBP%GO:0070328	32	15		
NEGATIVE REGULATION OF D-AMINO-ACID OXIDASE ACTIVITY%GOBP%GO:1900758	1		Rejected!	
REGULATION OF ANTIMICROBIAL HUMORAL RESPONSE%GOBP%GO:0002759	6		Rejected!	
DIET INDUCED THERMOGENESIS%GOBP%GO:0002024	6		Rejected!	
TELOMERE MAINTENANCE VIA TELOMERE LENGTHENING%GOBP%GO:0010833	27	25		
MAINTENANCE OF GOLGI LOCATION%GOBP%GO:0051684	3		Rejected!	
MEIOTIC SPINDLE ASSEMBLY%GOBP%GO:0090306	2		Rejected!	
POSITIVE REGULATION OF PRODUCTION OF MIRNAS INVOLVED IN GENE SILENCING BY MIRNA%GOBP%GO:1903800	11		Rejected!	
POSITIVE REGULATION OF RETROGRADE PROTEIN TRANSPORT, ER TO CYTOSOL%GOBP%GO:1904154	3		Rejected!	
MAINTENANCE OF TRANSLATIONAL FIDELITY%GOBP%GO:1990145	1		Rejected!	
RESPONSE TO GLYCOPROTEIN%GOBP%GO:1904587	6		Rejected!	
TOLERANCE INDUCTION TO SELF ANTIGEN%GOBP%GO:0002513	3		Rejected!	
REGULATION OF SYNCYTIUM FORMATION BY PLASMA MEMBRANE FUSION%GOBP%GO:0060142	20		Rejected!	
GABAERGIC NEURON DIFFERENTIATION%GOBP%GO:0097154	5		Rejected!	
POSITIVE REGULATION OF CELL DIVISION%GOBP%GO:0051781	48	32		
VITAMIN K METABOLIC PROCESS%GOBP%GO:0042373	9		Rejected!	
POSITIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION%GOBP%GO:0001938	78	61		
OMEGA-HYDROXYLASE P450 PATHWAY%GOBP%GO:0097267	11		Rejected!	
NEGATIVE REGULATION OF HEMOSTASIS%GOBP%GO:1900047	38	16		
VESICLE ORGANIZATION%GOBP%GO:0016050	288		Rejected!	
RESPONSE TO RAPAMYCIN%GOBP%GO:1901355	2		Rejected!	
REGULATION OF SPHINGOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0090153	12		Rejected!	
POSITIVE REGULATION OF REACTIVE OXYGEN SPECIES BIOSYNTHETIC PROCESS%GOBP%GO:1903428	13		Rejected!	
REGULATION OF NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN CONTAINING 1 SIGNALING PATHWAY%GOBP%GO:0070428	2		Rejected!	
MULTICELLULAR ORGANISMAL HOMEOSTASIS%GOBP%GO:0048871	234	137		
REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORT%GOBP%GO:1901379	70	39		
NEGATIVE REGULATION OF HISTONE H3-K9 DIMETHYLATION%GOBP%GO:1900110	2		Rejected!	
ANTERIOR/POSTERIOR PATTERN SPECIFICATION INVOLVED IN KIDNEY DEVELOPMENT%GOBP%GO:0072098	2		Rejected!	
POSITIVE REGULATION OF MACROPHAGE DIFFERENTIATION%GOBP%GO:0045651	11		Rejected!	
FATTY ACID DERIVATIVE METABOLIC PROCESS%GOBP%GO:1901568	67	39		
NEGATIVE REGULATION OF TRANSCRIPTION BY COMPETITIVE PROMOTER BINDING%GOBP%GO:0010944	10		Rejected!	
NEGATIVE REGULATION OF VACUOLAR TRANSPORT%GOBP%GO:1903336	2		Rejected!	
NEGATIVE REGULATION OF TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY%GOBP%GO:0034144	10		Rejected!	
NEURAL PLATE PATTERN SPECIFICATION%GOBP%GO:0060896	3		Rejected!	
RESPONSE TO INTERLEUKIN-11%GOBP%GO:0071105	2		Rejected!	
HEPARAN SULFATE PROTEOGLYCAN BIOSYNTHETIC PROCESS, ENZYMATIC MODIFICATION%GOBP%GO:0015015	6		Rejected!	
REGULATION OF DNA CATABOLIC PROCESS%GOBP%GO:1903624	6		Rejected!	
CDP PHOSPHORYLATION%GOBP%GO:0061508	1		Rejected!	
MIDBRAIN-HINDBRAIN BOUNDARY MORPHOGENESIS%GOBP%GO:0021555	1		Rejected!	
MULTIVESICULAR BODY ASSEMBLY%GOBP%GO:0036258	31	31		
HISTAMINE PRODUCTION INVOLVED IN INFLAMMATORY RESPONSE%GOBP%GO:0002349	1		Rejected!	
REGULATION OF 1-PHOSPHATIDYLINOSITOL-3-KINASE ACTIVITY%GOBP%GO:0061901	2		Rejected!	
SPINAL CORD DEVELOPMENT%GOBP%GO:0021510	35	20		
POSITIVE REGULATION OF HEART RATE BY EPINEPHRINE%GOBP%GO:0003065	1		Rejected!	
CAMP TRANSPORT%GOBP%GO:0070730	2		Rejected!	
T CELL EXTRAVASATION%GOBP%GO:0072683	5		Rejected!	
PROLINE CATABOLIC PROCESS TO GLUTAMATE%GOBP%GO:0010133	2		Rejected!	
MULTICELLULAR ORGANISM DEVELOPMENT%GOBP%GO:0007275	2584		Rejected!	
BENZENE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0042537	17		Rejected!	
PROTEIN LOCALIZATION TO MITOTIC SPINDLE%GOBP%GO:1902480	1		Rejected!	
REGULATION OF GLUTAMATE SECRETION, NEUROTRANSMISSION%GOBP%GO:1903294	1		Rejected!	
REGULATION OF PRIMARY METABOLIC PROCESS%GOBP%GO:0080090	5102		Rejected!	
REGULATION OF RENAL SYSTEM PROCESS%GOBP%GO:0098801	16		Rejected!	
PERIPHERAL NERVOUS SYSTEM NEURON DEVELOPMENT%GOBP%GO:0048935	6		Rejected!	
INCLUSION BODY ASSEMBLY%GOBP%GO:0070841	6		Rejected!	
IMMUNE SYSTEM PROCESS%GOBP%GO:0002376	1614		Rejected!	
SERINE FAMILY AMINO ACID METABOLIC PROCESS%GOBP%GO:0009069	30	21		
REGULATION OF MRNA STABILITY%GOBP%GO:0043488	151	130		
RIBONUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009185	47	36		
CEREBELLAR CORTEX DEVELOPMENT%GOBP%GO:0021695	19		Rejected!	
CELLULAR POLYSACCHARIDE BIOSYNTHETIC PROCESS%GOBP%GO:0033692	31	25		
GLUTAMATE HOMEOSTASIS%GOBP%GO:0090461	2		Rejected!	
NEGATIVE REGULATION OF KIDNEY DEVELOPMENT%GOBP%GO:0090185	4		Rejected!	
ACETYLCHOLINE CATABOLIC PROCESS%GOBP%GO:0006581	3		Rejected!	
POSITIVE REGULATION OF GROWTH HORMONE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0060399	3		Rejected!	
AMINERGIC NEUROTRANSMITTER LOADING INTO SYNAPTIC VESICLE%GOBP%GO:0015842	2		Rejected!	
NEGATIVE REGULATION OF ADENYLATE CYCLASE-ACTIVATING ADRENERGIC RECEPTOR SIGNALING PATHWAY%GOBP%GO:0071878	1		Rejected!	
POSITIVE REGULATION OF NK T CELL ACTIVATION%GOBP%GO:0051135	9		Rejected!	
MAINTENANCE OF PROTEIN LOCATION IN MEMBRANE%GOBP%GO:0072658	2		Rejected!	
REGULATION OF MYELOID DENDRITIC CELL CHEMOTAXIS%GOBP%GO:2000527	1		Rejected!	
NEGATIVE REGULATION OF OXIDATIVE STRESS-INDUCED NEURON INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1903377	5		Rejected!	
PROTON TRANSMEMBRANE TRANSPORT%GOBP%GO:1902600	49	34		
NEGATIVE REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0031327	1271		Rejected!	
ORGANIC CYCLIC COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:1901362	781		Rejected!	
POSITIVE REGULATION OF PEPTIDASE ACTIVITY%GOBP%GO:0010952	164	126		
NEGATIVE REGULATION OF PLASMA MEMBRANE BOUNDED CELL PROJECTION ASSEMBLY%GOBP%GO:0120033	31	26		
POSITIVE REGULATION OF NEUTROPHIL MEDIATED KILLING OF FUNGUS%GOBP%GO:0070965	1		Rejected!	
BIOLOGICAL PROCESS INVOLVED IN INTRASPECIES INTERACTION BETWEEN ORGANISMS%GOBP%GO:0051703	30		Rejected!	
STARCH METABOLIC PROCESS%GOBP%GO:0005982	1		Rejected!	
POSITIVE REGULATION OF PROTEIN GLYCOSYLATION IN GOLGI%GOBP%GO:0090284	3		Rejected!	
POSITIVE REGULATION OF PROTEIN NEDDYLATION%GOBP%GO:2000436	5		Rejected!	
REGULATION OF ATRIAL CARDIAC MUSCLE CELL ACTION POTENTIAL%GOBP%GO:0098910	4		Rejected!	
PHOSPHATIDYLINOSITOL BIOSYNTHETIC PROCESS%GOBP%GO:0006661	118	103		
DOUBLE-STRAND BREAK REPAIR VIA BREAK-INDUCED REPLICATION%GOBP%GO:0000727	12		Rejected!	
REGULATION OF MESENCHYMAL TO EPITHELIAL TRANSITION INVOLVED IN METANEPHROS MORPHOGENESIS%GOBP%GO:0003339	4		Rejected!	
LATERAL LINE DEVELOPMENT%GOBP%GO:0048882	2		Rejected!	
POSITIVE REGULATION OF SEQUESTERING OF TRIGLYCERIDE%GOBP%GO:0010890	9		Rejected!	
REGULATION OF NUCLEOCYTOPLASMIC TRANSPORT%GOBP%GO:0046822	74	68		
POSITIVE REGULATION OF CARDIOBLAST DIFFERENTIATION%GOBP%GO:0051891	5		Rejected!	
ORGAN OR TISSUE SPECIFIC IMMUNE RESPONSE%GOBP%GO:0002251	32		Rejected!	
REGULATION OF NAD+ ADP-RIBOSYLTRANSFERASE ACTIVITY%GOBP%GO:1901664	2		Rejected!	
POSITIVE REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION%GOBP%GO:0010575	25	18		
NEPHRIC DUCT DEVELOPMENT%GOBP%GO:0072176	10		Rejected!	
POSITIVE REGULATION OF T CELL PROLIFERATION%GOBP%GO:0042102	80	47		
CELL CHEMOTAXIS%GOBP%GO:0060326	179	82		
LUTEOLYSIS%GOBP%GO:0001554	3		Rejected!	
CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007166	1539		Rejected!	
HEXOSE CATABOLIC PROCESS%GOBP%GO:0019320	26	20		
NUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009123	36	32		
NEGATIVE REGULATION OF TYROSINE PHOSPHORYLATION OF STAT PROTEIN%GOBP%GO:0042532	10		Rejected!	
CELLULAR RESPONSE TO TRIACYL BACTERIAL LIPOPEPTIDE%GOBP%GO:0071727	3		Rejected!	
NUCLEOTIDE-SUGAR TRANSMEMBRANE TRANSPORT%GOBP%GO:0015780	7		Rejected!	
NEGATIVE REGULATION OF SKELETAL MUSCLE SATELLITE CELL PROLIFERATION%GOBP%GO:1902723	3		Rejected!	
NEGATIVE REGULATION OF WNT SIGNALING PATHWAY INVOLVED IN DIGESTIVE TRACT MORPHOGENESIS%GOBP%GO:2000057	1		Rejected!	
REGULATION OF PROTEIN LOCALIZATION TO CELL CORTEX%GOBP%GO:1904776	8		Rejected!	
NEGATIVE REGULATION OF HOMOTYPIC CELL-CELL ADHESION%GOBP%GO:0034111	10		Rejected!	
NEGATIVE REGULATION OF LEUKOCYTE MIGRATION%GOBP%GO:0002686	38	24		
REGULATION OF ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE%GOBP%GO:1900101	28	28		
INOSINE TRANSPORT%GOBP%GO:0035340	1		Rejected!	
NEGATIVE REGULATION OF INTRACELLULAR PROTEIN TRANSPORT%GOBP%GO:0090317	35	28		
OLIGOPEPTIDE TRANSMEMBRANE TRANSPORT%GOBP%GO:0035672	9		Rejected!	
GLOBOSIDE METABOLIC PROCESS%GOBP%GO:0001575	1		Rejected!	
HELPER T CELL EXTRAVASATION%GOBP%GO:0035684	1		Rejected!	
POSITIVE REGULATION OF RESPONSE TO EXTRACELLULAR STIMULUS%GOBP%GO:0032106	3		Rejected!	
REGULATION OF MACROPHAGE TOLERANCE INDUCTION%GOBP%GO:0010932	1		Rejected!	
PROSTAGLANDIN CATABOLIC PROCESS%GOBP%GO:1905344	2		Rejected!	
TELOMERE ORGANIZATION%GOBP%GO:0032200	84	79		
REGULATION OF PROTEIN AUTOUBIQUITINATION%GOBP%GO:1902498	6		Rejected!	
MACROMOLECULE DEPALMITOYLATION%GOBP%GO:0098734	8		Rejected!	
NEGATIVE REGULATION OF CENTRIOLE REPLICATION%GOBP%GO:0046600	7		Rejected!	
PRIMARY FOLLICLE STAGE%GOBP%GO:0048160	1		Rejected!	
POSITIVE REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009891	1591		Rejected!	
NEGATIVE REGULATION OF CARTILAGE DEVELOPMENT%GOBP%GO:0061037	16		Rejected!	
REGULATION OF RENAL OUTPUT BY ANGIOTENSIN%GOBP%GO:0002019	2		Rejected!	
FRUCTOSE TRANSMEMBRANE TRANSPORT%GOBP%GO:0015755	8		Rejected!	
CENTRAL NERVOUS SYSTEM MATURATION%GOBP%GO:0021626	3		Rejected!	
VESICLE FUSION TO PLASMA MEMBRANE%GOBP%GO:0099500	12		Rejected!	
ATP GENERATION FROM POLY-ADP-D-RIBOSE%GOBP%GO:1990966	4		Rejected!	
POSTSYNAPTIC NEUROTRANSMITTER RECEPTOR DIFFUSION TRAPPING%GOBP%GO:0098970	8		Rejected!	
NEGATIVE REGULATION OF MICROGLIAL CELL ACTIVATION%GOBP%GO:1903979	8		Rejected!	
POSITIVE REGULATION OF CHROMATIN ORGANIZATION%GOBP%GO:1905269	17	16		
POSITIVE REGULATION OF DIACYLGLYCEROL KINASE ACTIVITY%GOBP%GO:1905689	1		Rejected!	
MORPHOGENESIS OF A BRANCHING STRUCTURE%GOBP%GO:0001763	57	41		
DNA DUPLEX UNWINDING%GOBP%GO:0032508	44	43		
SKIN MORPHOGENESIS%GOBP%GO:0043589	7		Rejected!	
MUSCLE FILAMENT SLIDING%GOBP%GO:0030049	11		Rejected!	
NEGATIVE REGULATION OF LOCOMOTION%GOBP%GO:0040013	277		Rejected!	
PEPTIDYL-GLUTAMINE METHYLATION%GOBP%GO:0018364	6		Rejected!	
NEURAL PRECURSOR CELL PROLIFERATION%GOBP%GO:0061351	35	31		
REGULATION OF CARDIAC MUSCLE ADAPTATION%GOBP%GO:0010612	7		Rejected!	
METANEPHRIC TUBULE FORMATION%GOBP%GO:0072174	4		Rejected!	
REGULATION OF PROTEIN COMPLEX STABILITY%GOBP%GO:0061635	10		Rejected!	
LYSOSOMAL TRANSPORT%GOBP%GO:0007041	119	109		
IRES-DEPENDENT TRANSLATIONAL INITIATION OF LINEAR MRNA%GOBP%GO:0002192	1		Rejected!	
L-XYLITOL CATABOLIC PROCESS%GOBP%GO:0051160	1		Rejected!	
POSITIVE REGULATION OF VITAMIN D BIOSYNTHETIC PROCESS%GOBP%GO:0060557	2		Rejected!	
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0002474	23	20		
POSITIVE REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE%GOBP%GO:0003084	3		Rejected!	
ADAPTIVE THERMOGENESIS%GOBP%GO:1990845	15		Rejected!	
PHOSPHATIDYLSERINE ACYL-CHAIN REMODELING%GOBP%GO:0036150	9		Rejected!	
VESTIBULAR REFLEX%GOBP%GO:0060005	2		Rejected!	
RADIAL GLIA GUIDED MIGRATION OF PURKINJE CELL%GOBP%GO:0021942	1		Rejected!	
MITOCHONDRIAL ALPHA-KETOGLUTARATE TRANSMEMBRANE TRANSPORT%GOBP%GO:1990550	1		Rejected!	
EXONUCLEOLYTIC CATABOLISM OF DEADENYLATED MRNA%GOBP%GO:0043928	13		Rejected!	
REGULATION OF SECRETION%GOBP%GO:0051046	436		Rejected!	
REGULATION OF SULFUR METABOLIC PROCESS%GOBP%GO:0042762	7		Rejected!	
NEGATIVE REGULATION OF DNA METABOLIC PROCESS%GOBP%GO:0051053	128	111		
REGULATION OF BLOOD VOLUME BY RENIN-ANGIOTENSIN%GOBP%GO:0002016	4		Rejected!	
LYMPHATIC ENDOTHELIAL CELL DIFFERENTIATION%GOBP%GO:0060836	8		Rejected!	
NEGATIVE REGULATION OF GLUCAGON SECRETION%GOBP%GO:0070093	1		Rejected!	
PERICARDIUM MORPHOGENESIS%GOBP%GO:0003344	6		Rejected!	
POSITIVE REGULATION OF FOCAL ADHESION DISASSEMBLY%GOBP%GO:0120183	5		Rejected!	
MITOTIC TELOMERE MAINTENANCE VIA SEMI-CONSERVATIVE REPLICATION%GOBP%GO:1902990	3		Rejected!	
REGULATION OF PROTEIN CATABOLIC PROCESS%GOBP%GO:0042176	327		Rejected!	
NEGATIVE REGULATION OF ANION TRANSMEMBRANE TRANSPORT%GOBP%GO:1903960	7		Rejected!	
POSITIVE REGULATION OF GASTRO-INTESTINAL SYSTEM SMOOTH MUSCLE CONTRACTION%GOBP%GO:1904306	1		Rejected!	
PROTEIN TARGETING TO VACUOLE%GOBP%GO:0006623	37	35		
REGULATION OF INTRACELLULAR PH%GOBP%GO:0051453	71	50		
NEGATIVE REGULATION OF PRO-B CELL DIFFERENTIATION%GOBP%GO:2000974	3		Rejected!	
POSITIVE REGULATION OF CORTICOSTEROID HORMONE SECRETION%GOBP%GO:2000848	5		Rejected!	
GRANZYME-MEDIATED PROGRAMMED CELL DEATH SIGNALING PATHWAY%GOBP%GO:0140507	7		Rejected!	
NEGATIVE REGULATION OF ANION TRANSPORT%GOBP%GO:1903792	14		Rejected!	
INTERNEURON MIGRATION FROM THE SUBPALLIUM TO THE CORTEX%GOBP%GO:0021830	4		Rejected!	
CILIARY BASAL BODY-PLASMA MEMBRANE DOCKING%GOBP%GO:0097711	2		Rejected!	
OXALOACETATE METABOLIC PROCESS%GOBP%GO:0006107	5		Rejected!	
G PROTEIN-COUPLED SEROTONIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0098664	10		Rejected!	
REGULATION OF DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION%GOBP%GO:0010569	71	68		
REGULATION OF PROSTAGLANDIN BIOSYNTHETIC PROCESS%GOBP%GO:0031392	7		Rejected!	
NEGATIVE REGULATION OF TELOMERE CAPPING%GOBP%GO:1904354	7		Rejected!	
CHOLINE CATABOLIC PROCESS%GOBP%GO:0042426	4		Rejected!	
BRANCH ELONGATION INVOLVED IN URETERIC BUD BRANCHING%GOBP%GO:0060681	1		Rejected!	
PLUS-END SPECIFIC MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0070462	1		Rejected!	
DEVELOPMENTAL GROWTH%GOBP%GO:0048589	130	93		
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO KINETOCHORE%GOBP%GO:1905342	4		Rejected!	
REGULATION OF FATTY ACID BETA-OXIDATION USING ACYL-COA DEHYDROGENASE%GOBP%GO:1904735	1		Rejected!	
POSITIVE REGULATION OF NEURAL PRECURSOR CELL PROLIFERATION%GOBP%GO:2000179	23		Rejected!	
NEUROTROPHIN PRODUCTION%GOBP%GO:0032898	2		Rejected!	
REGULATION OF PLATELET-DERIVED GROWTH FACTOR RECEPTOR-ALPHA SIGNALING PATHWAY%GOBP%GO:2000583	4		Rejected!	
REGULATION OF ANTERIOR HEAD DEVELOPMENT%GOBP%GO:2000742	1		Rejected!	
BUTYRATE CATABOLIC PROCESS%GOBP%GO:0046359	1		Rejected!	
GOLGI CALCIUM ION HOMEOSTASIS%GOBP%GO:0032468	2		Rejected!	
REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOBP%GO:0071900	290		Rejected!	
CELL JUNCTION MAINTENANCE%GOBP%GO:0034331	29	24		
RESPONSE TO L-GLUTAMATE%GOBP%GO:1902065	2		Rejected!	
PENTOSE-PHOSPHATE SHUNT%GOBP%GO:0006098	12		Rejected!	
REGULATION OF KIDNEY SMOOTH MUSCLE CELL DIFFERENTIATION%GOBP%GO:2000356	1		Rejected!	
MODULATION OF CHEMICAL SYNAPTIC TRANSMISSION%GOBP%GO:0050804	250	153		
CELLULAR TRIVALENT INORGANIC ANION HOMEOSTASIS%GOBP%GO:0072502	6		Rejected!	
REGULATION OF EPINEPHRINE SECRETION%GOBP%GO:0014060	6		Rejected!	
MACROPHAGE ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002281	13		Rejected!	
NEGATIVE REGULATION OF INTERFERON-BETA PRODUCTION%GOBP%GO:0032688	10		Rejected!	
RETINAL BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0061304	4		Rejected!	
REGULATION OF MONONUCLEAR CELL MIGRATION%GOBP%GO:0071675	101	63		
MRNA POLYADENYLATION%GOBP%GO:0006378	32	25		
MONOVALENT INORGANIC CATION HOMEOSTASIS%GOBP%GO:0055067	116	70		
POSITIVE REGULATION OF KINASE ACTIVITY%GOBP%GO:0033674	357		Rejected!	
REGULATION OF METANEPHRIC MESENCHYMAL CELL MIGRATION BY PLATELET-DERIVED GROWTH FACTOR RECEPTOR-BETA SIGNALING PATHWAY%GOBP%GO:1900238	3		Rejected!	
NEUTRAL LIPID CATABOLIC PROCESS%GOBP%GO:0046461	26	17		
GLYCOSIDE TRANSPORT%GOBP%GO:1901656	3		Rejected!	
NEGATIVE REGULATION OF RELAXATION OF SMOOTH MUSCLE%GOBP%GO:1901081	1		Rejected!	
REGULATION OF PERK-MEDIATED UNFOLDED PROTEIN RESPONSE%GOBP%GO:1903897	10		Rejected!	
INTERMEDIATE MESODERM FORMATION%GOBP%GO:0048391	1		Rejected!	
MITOPHAGY BY INDUCED VACUOLE FORMATION%GOBP%GO:0035695	1		Rejected!	
REGULATION OF CARDIAC MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0055024	2		Rejected!	
REGULATION OF CARDIAC MUSCLE CELL ACTION POTENTIAL INVOLVED IN REGULATION OF CONTRACTION%GOBP%GO:0098909	8		Rejected!	
NEGATIVE REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901988	189	175		
POSITIVE REGULATION OF INTEGRIN BIOSYNTHETIC PROCESS%GOBP%GO:0045726	3		Rejected!	
POSITIVE REGULATION OF COLLAGEN METABOLIC PROCESS%GOBP%GO:0010714	17		Rejected!	
NEGATIVE REGULATION OF ISOTYPE SWITCHING%GOBP%GO:0045829	2		Rejected!	
ACTIVATION OF STORE-OPERATED CALCIUM CHANNEL ACTIVITY%GOBP%GO:0032237	4		Rejected!	
REGULATION OF INTERLEUKIN-13 PRODUCTION%GOBP%GO:0032656	16		Rejected!	
POSITIVE REGULATION OF SKELETAL MUSCLE CELL DIFFERENTIATION%GOBP%GO:2001016	5		Rejected!	
REGULATION OF SECONDARY HEART FIELD CARDIOBLAST PROLIFERATION%GOBP%GO:0003266	1		Rejected!	
RNA CATABOLIC PROCESS%GOBP%GO:0006401	152	139		
POSITIVE REGULATION OF ENDOPLASMIC RETICULUM TUBULAR NETWORK ORGANIZATION%GOBP%GO:1903373	4		Rejected!	
POSITIVE REGULATION OF GLUTAMATE METABOLIC PROCESS%GOBP%GO:2000213	1		Rejected!	
GLUCURONOSIDE CATABOLIC PROCESS%GOBP%GO:0019391	3		Rejected!	
FILTRATION DIAPHRAGM ASSEMBLY%GOBP%GO:0036058	2		Rejected!	
REGULATION OF GRANULOCYTE COLONY-STIMULATING FACTOR PRODUCTION%GOBP%GO:0071655	5		Rejected!	
U6 2'-O-SNRNA METHYLATION%GOBP%GO:1990438	0		Rejected!	
LAMELLIPODIUM MORPHOGENESIS%GOBP%GO:0072673	3		Rejected!	
LUTEIN METABOLIC PROCESS%GOBP%GO:0062170	1		Rejected!	
MAINTENANCE OF PROTEASE LOCATION IN T CELL SECRETORY GRANULE%GOBP%GO:0033379	1		Rejected!	
DUCTUS ARTERIOSUS CLOSURE%GOBP%GO:0097070	4		Rejected!	
URONIC ACID METABOLIC PROCESS%GOBP%GO:0006063	21		Rejected!	
PLANAR CELL POLARITY PATHWAY INVOLVED IN MIDBRAIN DOPAMINERGIC NEURON DIFFERENTIATION%GOBP%GO:1904955	1		Rejected!	
MRNA PSEUDOURIDINE SYNTHESIS%GOBP%GO:1990481	9		Rejected!	
CD4-POSITIVE, ALPHA-BETA T CELL COSTIMULATION%GOBP%GO:0035783	1		Rejected!	
RIBONUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009260	174	153		
PROGRAMMED NECROTIC CELL DEATH%GOBP%GO:0097300	16	15		
CARDIAC NEURAL CREST CELL DEVELOPMENT INVOLVED IN OUTFLOW TRACT MORPHOGENESIS%GOBP%GO:0061309	4		Rejected!	
ZONULA ADHERENS MAINTENANCE%GOBP%GO:0045218	3		Rejected!	
NEGATIVE REGULATION OF CYTOSKELETON ORGANIZATION%GOBP%GO:0051494	123	103		
REGULATION OF AUTOPHAGY OF MITOCHONDRION%GOBP%GO:1903146	26	25		
LYMPHOCYTE AGGREGATION%GOBP%GO:0071593	4		Rejected!	
B CELL PROLIFERATION%GOBP%GO:0042100	31		Rejected!	
AMEBOIDAL-TYPE CELL MIGRATION%GOBP%GO:0001667	124	92		
POSITIVE REGULATION OF CD8-POSITIVE, ALPHA-BETA T CELL PROLIFERATION%GOBP%GO:2000566	4		Rejected!	
EAR MORPHOGENESIS%GOBP%GO:0042471	42	23		
POSITIVE REGULATION OF PLATELET ACTIVATION%GOBP%GO:0010572	10		Rejected!	
REGULATION OF MUSCLE HYPERTROPHY%GOBP%GO:0014743	32	25		
POSITIVE REGULATION OF ACTIN FILAMENT DEPOLYMERIZATION%GOBP%GO:0030836	12		Rejected!	
SINGLE STRANDED VIRAL RNA REPLICATION VIA DOUBLE STRANDED DNA INTERMEDIATE%GOBP%GO:0039692	1		Rejected!	
GMP CATABOLIC PROCESS%GOBP%GO:0046038	2		Rejected!	
RECIPROCAL HOMOLOGOUS RECOMBINATION%GOBP%GO:0140527	52	35		
SPERMIDINE DEACETYLATION%GOBP%GO:0106048	2		Rejected!	
PROTEIN DEPOLYMERIZATION%GOBP%GO:0051261	38	30		
DITERPENOID METABOLIC PROCESS%GOBP%GO:0016101	69	32		
EPITHELIAL CELL PROLIFERATION INVOLVED IN SALIVARY GLAND MORPHOGENESIS%GOBP%GO:0060664	2		Rejected!	
